pptname,invariant,invariantType,variables,tp,fp,enter,bug,file,group
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.name is a substring of return.full_name,daikon.inv.binary.twoString.StdString$SubString,"(return.name, return.full_name)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,name
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.full_name is a substring of return.html_url,daikon.inv.binary.twoString.StdString$SubString,"(return.full_name, return.html_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,full_name
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.full_name is a substring of return.url,daikon.inv.binary.twoString.StdString$SubString,"(return.full_name, return.url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,full_name
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.full_name is a substring of return.git_url,daikon.inv.binary.twoString.StdString$SubString,"(return.full_name, return.git_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,full_name
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.full_name is a substring of return.ssh_url,daikon.inv.binary.twoString.StdString$SubString,"(return.full_name, return.ssh_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,full_name
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.owner.url is a substring of return.owner.followers_url,daikon.inv.binary.twoString.StdString$SubString,"(return.owner.url, return.owner.followers_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,owner.url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.owner.url is a substring of return.owner.following_url,daikon.inv.binary.twoString.StdString$SubString,"(return.owner.url, return.owner.following_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,owner.url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.owner.url is a substring of return.owner.gists_url,daikon.inv.binary.twoString.StdString$SubString,"(return.owner.url, return.owner.gists_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,owner.url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.owner.url is a substring of return.owner.starred_url,daikon.inv.binary.twoString.StdString$SubString,"(return.owner.url, return.owner.starred_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,owner.url
main.orgs{org}repos.getOrganizationRepositories&200(main.getOrganizationRepositories&Input):::EXIT,return.owner.url is a substring of return.owner.subscriptions_url,daikon.inv.binary.twoString.StdString$SubString,"(return.owner.url, return.owner.subscriptions_url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\GitHub\getOrganizationRepositories\50\invariants_50_modified_tab_delimiter.xlsx,owner.url
