group,invariant,invariantType,variables,pptname,tp
data,size(input.hotelIds[]) >= size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(size(input.hotelIds[..]), size(return.data[..]))",main.shoppinghotel-offers.getMultiHotelOffers&200(main.getMultiHotelOffers&Input):::EXIT,1.0
data.hotel.chainCode,LENGTH(return.hotel.chainCode)==2,daikon.inv.unary.string.FixedLengthString,(return.hotel.chainCode),main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,1.0
data.hotel.cityCode,LENGTH(return.hotel.cityCode)==3,daikon.inv.unary.string.FixedLengthString,(return.hotel.cityCode),main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,1.0
data.hotel.dupeId,"LENGTH(return.hotel.dupeId)==9
return.hotel.dupeId is Numeric","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsNumeric","(return.hotel.dupeId)
(return.hotel.dupeId)","main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT",1.0
data.hotel.hotelId,"return.hotel.chainCode is a substring of return.hotel.hotelId
return.hotel.cityCode is a substring of return.hotel.hotelId
LENGTH(return.hotel.hotelId)==8
return.hotel.hotelId in input.hotelIds[]","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.sequenceString.MemberString","(return.hotel.hotelId, return.hotel.chainCode)
(return.hotel.hotelId, return.hotel.cityCode)
(return.hotel.hotelId)
(input.hotelIds[..], return.hotel.hotelId)","main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT",1.0
data.hotel.type,"LENGTH(return.hotel.type)==5
return.hotel.type == ""hotel""","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.hotel.type)
(return.hotel.type)","main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT",1.0
data.offers,size(return.offers[]) >= 1,daikon.inv.unary.scalar.LowerBound,(size(return.offers[..])),main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,1.0
data.offers.boardType,"LENGTH(return.boardType)==9
return.boardType one of { ""BREAKFAST"", ""ROOM_ONLY"" }
input.boardType == return.boardType","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString
daikon.inv.binary.twoString.StringEqual","(return.boardType)
(return.boardType)
(input.boardType, return.boardType)","main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT",0.0
data.offers.category,"return.category is a substring of return.room.description.text
return.category == ""GOV""","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.OneOfString","(return.category, return.room.description.text)
(return.category)","main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT",0.0
data.offers.checkInDate,"return.checkInDate one of { ""2022-09-20"", ""2022-09-21"", ""2022-09-22"" }
input.checkInDate == return.checkInDate
return.checkInDate is a Date. Format: YYYY/MM/DD","daikon.inv.unary.string.OneOfString
daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.dates.IsDateYYYYMMDD","(return.checkInDate)
(input.checkInDate, return.checkInDate)
(return.checkInDate)","main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT",0.6666666666666666
