pptname,invariant,invariantType,variables,tp,fp,enter,bug,file,group
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,input.lang is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.lang, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.id is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(return.id, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.id
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.checkInDate is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.checkInDate, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.checkOutDate is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.checkOutDate, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.countryOfResidence is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.countryOfResidence, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.currency is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.currency, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.paymentPolicy is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.paymentPolicy, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.boardType is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.boardType, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.lang is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.lang, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.type is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(return.type, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.hotel.type is a substring of return.type,daikon.inv.binary.twoString.StdString$SubString,"(return.type, return.hotel.type)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.hotel.hotelId is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(return.self, return.hotel.hotelId)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.hotel.chainCode is a substring of return.hotel.hotelId,daikon.inv.binary.twoString.StdString$SubString,"(return.hotel.hotelId, return.hotel.chainCode)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.hotelId
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.hotel.cityCode is a substring of return.hotel.hotelId,daikon.inv.binary.twoString.StdString$SubString,"(return.hotel.hotelId, return.hotel.cityCode)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.hotelId
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.self is Url,daikon.inv.unary.string.IsUrl,(return.self),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.self is Url,daikon.inv.unary.string.IsUrl,(return.self),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.currency)==3,daikon.inv.unary.string.FixedLengthString,(return.currency),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.taxes.currency
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.id)==10,daikon.inv.unary.string.FixedLengthString,(return.id),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.id
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.rateCode)==3,daikon.inv.unary.string.FixedLengthString,(return.rateCode),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.rateCode
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.rateFamilyEstimated.code)==3,daikon.inv.unary.string.FixedLengthString,(return.rateFamilyEstimated.code),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.rateFamilyEstimated.code
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.rateFamilyEstimated.type)==1,daikon.inv.unary.string.FixedLengthString,(return.rateFamilyEstimated.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.rateFamilyEstimated.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.room.type)==3,daikon.inv.unary.string.FixedLengthString,(return.room.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.room.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.room.description.lang)==2,daikon.inv.unary.string.FixedLengthString,(return.room.description.lang),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.room.description.lang
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.price.currency)==3,daikon.inv.unary.string.FixedLengthString,(return.price.currency),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.currency
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.policies.cancellation.type)==9,daikon.inv.unary.string.FixedLengthString,(return.policies.cancellation.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.cancellation.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.policies.cancellation.deadline)==25,daikon.inv.unary.string.FixedLengthString,(return.policies.cancellation.deadline),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.cancellation.deadline
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.type)==12,daikon.inv.unary.string.FixedLengthString,(return.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.hotel.hotelId)==8,daikon.inv.unary.string.FixedLengthString,(return.hotel.hotelId),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.hotelId
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.hotel.chainCode)==2,daikon.inv.unary.string.FixedLengthString,(return.hotel.chainCode),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.chainCode
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.hotel.dupeId)==9,daikon.inv.unary.string.FixedLengthString,(return.hotel.dupeId),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.dupeId
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.hotel.cityCode)==3,daikon.inv.unary.string.FixedLengthString,(return.hotel.cityCode),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.cityCode
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.hotel.type)==5,daikon.inv.unary.string.FixedLengthString,(return.hotel.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,input.adults == return.guests.adults,daikon.inv.binary.twoScalar.IntEqual,"(input.adults, return.guests.adults)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.guests.adults
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT,"return.pricingFrequency one of { ""PER_NIGHT"", ""PER_STAY"" }",daikon.inv.unary.string.OneOfString,(return.pricingFrequency),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.taxes.pricingFrequency
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT,"return.pricingMode one of { ""PER_OCCUPANT"", ""PER_PRODUCT"" }",daikon.inv.unary.string.OneOfString,(return.pricingMode),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.taxes.pricingMode
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,"return.policies.cancellation.type == ""FULL_STAY""",daikon.inv.unary.string.OneOfString,(return.policies.cancellation.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.cancellation.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,"return.type == ""hotel-offers""",daikon.inv.unary.string.OneOfString,(return.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,"return.hotel.type == ""hotel""",daikon.inv.unary.string.OneOfString,(return.hotel.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,input.checkInDate == return.checkInDate,daikon.inv.binary.twoString.StringEqual,"(input.checkInDate, return.checkInDate)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.checkInDate
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,input.checkOutDate == return.checkOutDate,daikon.inv.binary.twoString.StringEqual,"(input.checkOutDate, return.checkOutDate)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.checkOutDate
main.shoppinghotel-offers.getMultiHotelOffers&200(main.getMultiHotelOffers&Input):::EXIT,size(input.hotelIds[]) >= size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(size(input.hotelIds[..]), size(return.data[..]))",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,size(return.price.variations.changes[]) >= 1,daikon.inv.unary.scalar.LowerBound,(size(return.price.variations.changes[..])),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.variations.changes
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,size(return.offers[]) >= 1,daikon.inv.unary.scalar.LowerBound,(size(return.offers[..])),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT,return.amount is Numeric,daikon.inv.unary.string.IsNumeric,(return.amount),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.taxes.amount
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT,return.percentage is Numeric,daikon.inv.unary.string.IsNumeric,(return.percentage),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.taxes.percentage
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&variations&changes(main.getMultiHotelOffers&Input):::EXIT,return.total is Numeric,daikon.inv.unary.string.IsNumeric,(return.total),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.variations.changes.total
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&variations&changes(main.getMultiHotelOffers&Input):::EXIT,return.base is Numeric,daikon.inv.unary.string.IsNumeric,(return.base),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.variations.changes.base
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.roomQuantity is Numeric,daikon.inv.unary.string.IsNumeric,(return.roomQuantity),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.roomQuantity
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.commission.percentage is Numeric,daikon.inv.unary.string.IsNumeric,(return.commission.percentage),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.commission.percentage
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.price.total is Numeric,daikon.inv.unary.string.IsNumeric,(return.price.total),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.total
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.price.base is Numeric,daikon.inv.unary.string.IsNumeric,(return.price.base),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.base
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.price.variations.average.base is Numeric,daikon.inv.unary.string.IsNumeric,(return.price.variations.average.base),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.variations.average.base
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.cancellation.amount is Numeric,daikon.inv.unary.string.IsNumeric,(return.policies.cancellation.amount),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.cancellation.amount
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.hotel.dupeId is Numeric,daikon.inv.unary.string.IsNumeric,(return.hotel.dupeId),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.dupeId
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,All the elements of return.policies.guarantee.acceptedPayments.creditCards[] have LENGTH=2,daikon.inv.unary.stringsequence.SequenceFixedLengthString,(return.policies.guarantee.acceptedPayments.creditCards[..]),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.guarantee.acceptedPayments.creditCards
