group,invariant,invariantType,variables,pptname,tp
attributionHTML,"LENGTH(return.attributionHTML)==70
return.attributionHTML == ""<a href=\""http://marvel.com\"">Data provided by Marvel. \251 2022 MARVEL</a>""","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.attributionHTML)
(return.attributionHTML)","main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT",1.0
attributionText,"return.attributionText is a substring of return.attributionHTML
LENGTH(return.attributionText)==38
return.attributionText == ""Data provided by Marvel. \251 2022 MARVEL""","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.attributionText, return.attributionHTML)
(return.attributionText)
(return.attributionText)","main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT",1.0
code,"input.comicId > return.code
return.code == 200","daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.unary.scalar.OneOfScalar","(input.comicId, return.code)
(return.code)","main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT",0.5
copyright,"return.copyright is a substring of return.attributionText
LENGTH(return.copyright)==13
return.copyright == ""\251 2022 MARVEL""","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.copyright, return.attributionText)
(return.copyright)
(return.copyright)","main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT",1.0
data.limit,"input.comicId > return.data.limit
return.data.limit == 20","daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.unary.scalar.OneOfScalar","(input.comicId, return.data.limit)
(return.data.limit)","main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT",0.5
data.offset,"input.comicId > return.data.offset
return.data.offset == 0","daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.unary.scalar.OneOfScalar","(input.comicId, return.data.offset)
(return.data.offset)","main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT",1.0
data.results,return.data.results[] elements == return.data.results[return.data.offset],daikon.inv.binary.sequenceScalar.SeqIntEqual,"(return.data.results[..], return.data.results[return.data.offset])",main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT,1.0
data.results.characters.available,"input.comicId > return.characters.available
return.characters.available == return.characters.returned
return.characters.available == size(return.characters.items[])
return.characters.available >= size(return.collections[])
return.characters.available >= 1","daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.unary.scalar.LowerBound","(input.comicId, return.characters.available)
(return.characters.available, return.characters.returned)
(return.characters.available, size(return.characters.items[..]))
(return.characters.available, size(return.collections[..]))
(return.characters.available)","main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT",0.0
data.results.characters.collectionURI,return.characters.collectionURI is Url,daikon.inv.unary.string.IsUrl,(return.characters.collectionURI),main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT,1.0
data.results.characters.items,return.characters.items[] is a superset of return.events.items[],daikon.inv.binary.twoSequence.SuperSet,"(return.characters.items[..], return.events.items[..])",main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT,0.0
data.results.characters.items.resourceURI,"return.resourceURI is Url
LENGTH(return.resourceURI)==54","daikon.inv.unary.string.IsUrl
daikon.inv.unary.string.FixedLengthString","(return.resourceURI)
(return.resourceURI)","main.v1publiccomics{comicId}.getComicIndividual&200&data&results&characters&items(main.getComicIndividual&Input):::EXIT
main.v1publiccomics{comicId}.getComicIndividual&200&data&results&characters&items(main.getComicIndividual&Input):::EXIT",1.0
