pptname,invariant,invariantType,variables,tp,fp,enter,bug,file,group
main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT,return.resourceURI is a substring of return.creators.collectionURI,daikon.inv.binary.twoString.StdString$SubString,"(return.resourceURI, return.creators.collectionURI)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Marvel\getComicById\50\invariants_50_modified_tab_delimiter.xlsx,data.results.resourceURI
main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT,return.resourceURI is a substring of return.characters.collectionURI,daikon.inv.binary.twoString.StdString$SubString,"(return.resourceURI, return.characters.collectionURI)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Marvel\getComicById\50\invariants_50_modified_tab_delimiter.xlsx,data.results.resourceURI
main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT,return.resourceURI is a substring of return.stories.collectionURI,daikon.inv.binary.twoString.StdString$SubString,"(return.resourceURI, return.stories.collectionURI)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Marvel\getComicById\50\invariants_50_modified_tab_delimiter.xlsx,data.results.resourceURI
main.v1publiccomics{comicId}.getComicIndividual&200&data&results(main.getComicIndividual&Input):::EXIT,return.resourceURI is a substring of return.events.collectionURI,daikon.inv.binary.twoString.StdString$SubString,"(return.resourceURI, return.events.collectionURI)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Marvel\getComicById\50\invariants_50_modified_tab_delimiter.xlsx,data.results.resourceURI
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT,return.copyright is a substring of return.attributionText,daikon.inv.binary.twoString.StdString$SubString,"(return.copyright, return.attributionText)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Marvel\getComicById\50\invariants_50_modified_tab_delimiter.xlsx,copyright
main.v1publiccomics{comicId}.getComicIndividual&200(main.getComicIndividual&Input):::EXIT,return.attributionText is a substring of return.attributionHTML,daikon.inv.binary.twoString.StdString$SubString,"(return.attributionText, return.attributionHTML)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Marvel\getComicById\50\invariants_50_modified_tab_delimiter.xlsx,attributionText
main.v1publiccomics{comicId}.getComicIndividual&200&data&results&characters&items(main.getComicIndividual&Input):::EXIT,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Marvel\getComicById\50\invariants_50_modified_tab_delimiter.xlsx,data.results.characters.items.resourceURI
main.v1publiccomics{comicId}.getComicIndividual&200&data&results&collections(main.getComicIndividual&Input):::EXIT,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Marvel\getComicById\50\invariants_50_modified_tab_delimiter.xlsx,data.results.collections.resourceURI
main.v1publiccomics{comicId}.getComicIndividual&200&data&results&creators&items(main.getComicIndividual&Input):::EXIT,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Marvel\getComicById\50\invariants_50_modified_tab_delimiter.xlsx,data.results.creators.items.resourceURI
main.v1publiccomics{comicId}.getComicIndividual&200&data&results&images(main.getComicIndividual&Input):::EXIT,return.path is Url,daikon.inv.unary.string.IsUrl,(return.path),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Marvel\getComicById\50\invariants_50_modified_tab_delimiter.xlsx,data.results.images.path
