pptname,invariant,invariantType,variables,tp,fp,enter,bug,file,group
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,return.Poster is Url,daikon.inv.unary.string.IsUrl,(return.Poster),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,Poster
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,LENGTH(return.Response)==4,daikon.inv.unary.string.FixedLengthString,(return.Response),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,Response
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,LENGTH(return.Released)==11,daikon.inv.unary.string.FixedLengthString,(return.Released),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,Released
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,LENGTH(return.DVD)==11,daikon.inv.unary.string.FixedLengthString,(return.DVD),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,DVD
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,LENGTH(return.seriesID)==9,daikon.inv.unary.string.FixedLengthString,(return.seriesID),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,seriesID
main..searchByIdOrTitle&200&Ratings(main.searchByIdOrTitle&Input):::EXIT,"return.Source one of { ""Internet Movie Database"", ""Metacritic"", ""Rotten Tomatoes"" }",daikon.inv.unary.string.OneOfString,(return.Source),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,Ratings.Source
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,"return.Response == ""True""",daikon.inv.unary.string.OneOfString,(return.Response),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,Response
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,"return.Type one of { ""episode"", ""movie"", ""series"" }",daikon.inv.unary.string.OneOfString,(return.Type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,Type
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,input.i == return.imdbID,daikon.inv.binary.twoString.StringEqual,"(input.i, return.imdbID)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,imdbID
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,return.Metascore is Numeric,daikon.inv.unary.string.IsNumeric,(return.Metascore),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,Metascore
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,return.imdbRating is Numeric,daikon.inv.unary.string.IsNumeric,(return.imdbRating),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,imdbRating
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,return.imdbVotes is Numeric,daikon.inv.unary.string.IsNumeric,(return.imdbVotes),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,imdbVotes
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,return.Episode is Numeric,daikon.inv.unary.string.IsNumeric,(return.Episode),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,Episode
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,return.Season is Numeric,daikon.inv.unary.string.IsNumeric,(return.Season),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,Season
main..searchByIdOrTitle&200(main.searchByIdOrTitle&Input):::EXIT,return.totalSeasons is Numeric,daikon.inv.unary.string.IsNumeric,(return.totalSeasons),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\OMDb\byIdOrTitle\50\invariants_50_modified_tab_delimiter.xlsx,totalSeasons
