group,invariant,invariantType,variables,pptname,tp
href,"input.id is a substring of return.href
input.market is a substring of return.href
return.href is Url","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.IsUrl","(input.id, return.href)
(input.market, return.href)
(return.href)","main.artists{id}albums.getArtistAlbums&200(main.getArtistAlbums&Input):::EXIT
main.artists{id}albums.getArtistAlbums&200(main.getArtistAlbums&Input):::EXIT
main.artists{id}albums.getArtistAlbums&200(main.getArtistAlbums&Input):::EXIT",1.0
items,input.limit >= size(return.items[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.items[..]))",main.artists{id}albums.getArtistAlbums&200(main.getArtistAlbums&Input):::EXIT,1.0
items.album_group,return.album_group in input.include_groups[],daikon.inv.binary.sequenceString.MemberString,"(input.include_groups[..], return.album_group)",main.artists{id}albums.getArtistAlbums&200&items(main.getArtistAlbums&Input):::EXIT,1.0
items.album_type,"return.album_type one of { ""album"", ""compilation"", ""single"" }",daikon.inv.unary.string.OneOfString,(return.album_type),main.artists{id}albums.getArtistAlbums&200&items(main.getArtistAlbums&Input):::EXIT,1.0
items.artists,"input.limit > size(return.artists[])
size(return.artists[]) >= 1","daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.unary.scalar.LowerBound","(input.limit, size(return.artists[..]))
(size(return.artists[..]))","main.artists{id}albums.getArtistAlbums&200&items(main.getArtistAlbums&Input):::EXIT
main.artists{id}albums.getArtistAlbums&200&items(main.getArtistAlbums&Input):::EXIT",0.5
items.artists.href,"return.id is a substring of return.href
return.type is a substring of return.href
return.href is Url
LENGTH(return.href)==57","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.IsUrl
daikon.inv.unary.string.FixedLengthString","(return.href, return.id)
(return.href, return.type)
(return.href)
(return.href)","main.artists{id}albums.getArtistAlbums&200&items&artists(main.getArtistAlbums&Input):::EXIT
main.artists{id}albums.getArtistAlbums&200&items&artists(main.getArtistAlbums&Input):::EXIT
main.artists{id}albums.getArtistAlbums&200&items&artists(main.getArtistAlbums&Input):::EXIT
main.artists{id}albums.getArtistAlbums&200&items&artists(main.getArtistAlbums&Input):::EXIT",1.0
items.artists.id,"return.id is a substring of return.uri
LENGTH(return.id)==22","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.FixedLengthString","(return.id, return.uri)
(return.id)","main.artists{id}albums.getArtistAlbums&200&items&artists(main.getArtistAlbums&Input):::EXIT
main.artists{id}albums.getArtistAlbums&200&items&artists(main.getArtistAlbums&Input):::EXIT",1.0
items.artists.type,"return.type is a substring of return.uri
LENGTH(return.type)==6
return.type == ""artist""","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.type, return.uri)
(return.type)
(return.type)","main.artists{id}albums.getArtistAlbums&200&items&artists(main.getArtistAlbums&Input):::EXIT
main.artists{id}albums.getArtistAlbums&200&items&artists(main.getArtistAlbums&Input):::EXIT
main.artists{id}albums.getArtistAlbums&200&items&artists(main.getArtistAlbums&Input):::EXIT",1.0
items.artists.uri,LENGTH(return.uri)==37,daikon.inv.unary.string.FixedLengthString,(return.uri),main.artists{id}albums.getArtistAlbums&200&items&artists(main.getArtistAlbums&Input):::EXIT,1.0
items.available_markets,"size(input.include_groups[]) <= size(return.available_markets[])
All the elements of return.available_markets[] have LENGTH=2","daikon.inv.binary.twoScalar.IntLessEqual
daikon.inv.unary.stringsequence.SequenceFixedLengthString","(size(input.include_groups[..]), size(return.available_markets[..]))
(return.available_markets[..])","main.artists{id}albums.getArtistAlbums&200&items(main.getArtistAlbums&Input):::EXIT
main.artists{id}albums.getArtistAlbums&200&items(main.getArtistAlbums&Input):::EXIT",0.5
