pptname,invariant,invariantType,variables,tp,fp,enter,bug,file,group
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,return.image_url is Url,daikon.inv.unary.string.IsUrl,(return.image_url),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.image_url
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,return.url is Url,daikon.inv.unary.string.IsUrl,(return.url),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.url
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,input.radius > return.review_count,daikon.inv.binary.twoScalar.IntGreaterThan,"(input.radius, return.review_count)",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.review_count
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,input.radius > size(return.categories[]),daikon.inv.binary.twoScalar.IntGreaterThan,"(input.radius, size(return.categories[..]))",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.categories
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,input.radius > size(return.transactions[]),daikon.inv.binary.twoScalar.IntGreaterThan,"(input.radius, size(return.transactions[..]))",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.transactions
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,input.radius > size(return.location.display_address[]),daikon.inv.binary.twoScalar.IntGreaterThan,"(input.radius, size(return.location.display_address[..]))",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.location.display_address
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,return.review_count > size(return.transactions[]),daikon.inv.binary.twoScalar.IntGreaterThan,"(return.review_count, size(return.transactions[..]))",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.review_count
main.businessessearch.getBusinesses&200(main.getBusinesses&Input):::EXIT,input.radius > return.total,daikon.inv.binary.twoScalar.IntGreaterThan,"(input.radius, return.total)",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,total
main.businessessearch.getBusinesses&200(main.getBusinesses&Input):::EXIT,input.radius > size(return.businesses[]),daikon.inv.binary.twoScalar.IntGreaterThan,"(input.radius, size(return.businesses[..]))",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,LENGTH(return.id)==22,daikon.inv.unary.string.FixedLengthString,(return.id),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.id
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,LENGTH(return.image_url)==68,daikon.inv.unary.string.FixedLengthString,(return.image_url),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.image_url
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,LENGTH(return.location.country)==2,daikon.inv.unary.string.FixedLengthString,(return.location.country),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.location.country
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,return.is_closed == false,daikon.inv.unary.scalar.OneOfScalar,(return.is_closed),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.is_closed
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,input.limit >= size(return.categories[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.categories[..]))",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.categories
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,input.limit >= size(return.transactions[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.transactions[..]))",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.transactions
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,return.review_count >= size(input.attributes[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(return.review_count, size(input.attributes[..]))",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.review_count
main.businessessearch.getBusinesses&200(main.getBusinesses&Input):::EXIT,input.limit >= size(return.businesses[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.businesses[..]))",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses
main.businessessearch.getBusinesses&200(main.getBusinesses&Input):::EXIT,return.total >= size(return.businesses[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(return.total, size(return.businesses[..]))",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,total
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,return.review_count >= 1,daikon.inv.unary.scalar.LowerBound,(return.review_count),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.review_count
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,size(return.categories[]) >= 1,daikon.inv.unary.scalar.LowerBound,(size(return.categories[..])),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.categories
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,size(return.location.display_address[]) >= 2,daikon.inv.unary.scalar.LowerBound,(size(return.location.display_address[..])),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.location.display_address
main.businessessearch.getBusinesses&200(main.getBusinesses&Input):::EXIT,return.total >= 0,daikon.inv.unary.scalar.LowerBound,(return.total),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,total
