pptname,invariant,invariantType,variables,tp,fp,enter,bug,file,group
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,return.image_url is Url,daikon.inv.unary.string.IsUrl,(return.image_url),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.image_url
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,return.url is Url,daikon.inv.unary.string.IsUrl,(return.url),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.url
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,LENGTH(return.id)==22,daikon.inv.unary.string.FixedLengthString,(return.id),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.id
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,LENGTH(return.image_url)==68,daikon.inv.unary.string.FixedLengthString,(return.image_url),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.image_url
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,LENGTH(return.location.country)==2,daikon.inv.unary.string.FixedLengthString,(return.location.country),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.location.country
main.businessessearch.getBusinesses&200(main.getBusinesses&Input):::EXIT,input.limit >= size(return.businesses[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.businesses[..]))",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses
main.businessessearch.getBusinesses&200(main.getBusinesses&Input):::EXIT,return.total >= size(return.businesses[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(return.total, size(return.businesses[..]))",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,total
main.businessessearch.getBusinesses&200(main.getBusinesses&Input):::EXIT,return.total >= 0,daikon.inv.unary.scalar.LowerBound,(return.total),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,total
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,return.location.address1 in return.location.display_address[],daikon.inv.binary.sequenceString.MemberString,"(return.location.address1, return.location.display_address[..])",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.location.address1
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,return.location.address2 in return.location.display_address[],daikon.inv.binary.sequenceString.MemberString,"(return.location.address2, return.location.display_address[..])",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.location.address2
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,return.location.address3 in return.location.display_address[],daikon.inv.binary.sequenceString.MemberString,"(return.location.address3, return.location.display_address[..])",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.location.address3
main.businessessearch.getBusinesses&200&businesses(main.getBusinesses&Input):::EXIT,"return.transactions[] elements one of { ""delivery"", ""pickup"", ""restaurant_reservation"" }",daikon.inv.unary.stringsequence.EltOneOfString,(return.transactions[..]),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\Yelp\getBusinesses\50\invariants_50_modified_tab_delimiter.xlsx,businesses.transactions
