group,invariant,invariantType,variables,pptname,tp
etag,LENGTH(return.etag)==27,daikon.inv.unary.string.FixedLengthString,(return.etag),main.youtubev3videos.getVideos&200(main.getVideos&Input):::EXIT,1.0
items,"input.maxHeight > size(return.items[])
input.maxWidth > size(return.items[])
size(input.id[]) == size(return.items[])
input.maxResults >= size(return.items[])
size(return.items[]) >= 1","daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.unary.scalar.LowerBound","(input.maxHeight, size(return.items[..]))
(input.maxWidth, size(return.items[..]))
(size(input.id[..]), size(return.items[..]))
(input.maxResults, size(return.items[..]))
(size(return.items[..]))","main.youtubev3videos.getVideos&200(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200(main.getVideos&Input):::EXIT",0.6
items.ageGating,return.ageGating == null,daikon.inv.unary.scalar.OneOfScalar,(return.ageGating),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.contentDetails.caption,"return.contentDetails.caption one of { ""false"", ""true"" }",daikon.inv.unary.string.OneOfString,(return.contentDetails.caption),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.contentDetails.contentRating.djctqRatingReasons,return.contentDetails.contentRating.djctqRatingReasons == return.suggestions.editorSuggestions,daikon.inv.binary.twoScalar.IntEqual,"(return.contentDetails.contentRating.djctqRatingReasons, return.suggestions.editorSuggestions)",main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,0.0
items.contentDetails.contentRating.fpbRatingReasons,return.contentDetails.contentRating.fpbRatingReasons == return.suggestions.editorSuggestions,daikon.inv.binary.twoScalar.IntEqual,"(return.contentDetails.contentRating.fpbRatingReasons, return.suggestions.editorSuggestions)",main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,0.0
items.contentDetails.countryRestriction,return.contentDetails.countryRestriction == null,daikon.inv.unary.scalar.OneOfScalar,(return.contentDetails.countryRestriction),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.contentDetails.countryRestriction.exception,return.contentDetails.countryRestriction.exception == return.suggestions.editorSuggestions,daikon.inv.binary.twoScalar.IntEqual,"(return.contentDetails.countryRestriction.exception, return.suggestions.editorSuggestions)",main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,0.0
items.contentDetails.definition,"LENGTH(return.contentDetails.definition)==2
return.contentDetails.definition one of { ""hd"", ""sd"" }","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.contentDetails.definition)
(return.contentDetails.definition)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
items.contentDetails.dimension,"LENGTH(return.contentDetails.dimension)==2
return.contentDetails.dimension one of { ""2d"", ""3d"" }","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.contentDetails.dimension)
(return.contentDetails.dimension)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
