group,invariant,invariantType,variables,pptname,tp
etag,LENGTH(return.etag)==27,daikon.inv.unary.string.FixedLengthString,(return.etag),main.youtubev3videos.getVideos&200(main.getVideos&Input):::EXIT,1.0
items.ageGating,return.ageGating == null,daikon.inv.unary.scalar.OneOfScalar,(return.ageGating),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.contentDetails.caption,"return.contentDetails.caption one of { ""false"", ""true"" }",daikon.inv.unary.string.OneOfString,(return.contentDetails.caption),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.contentDetails.countryRestriction,return.contentDetails.countryRestriction == null,daikon.inv.unary.scalar.OneOfScalar,(return.contentDetails.countryRestriction),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.contentDetails.definition,"LENGTH(return.contentDetails.definition)==2
return.contentDetails.definition one of { ""hd"", ""sd"" }","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.contentDetails.definition)
(return.contentDetails.definition)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
items.contentDetails.dimension,"LENGTH(return.contentDetails.dimension)==2
return.contentDetails.dimension one of { ""2d"", ""3d"" }","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.contentDetails.dimension)
(return.contentDetails.dimension)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
items.etag,LENGTH(return.etag)==27,daikon.inv.unary.string.FixedLengthString,(return.etag),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.fileDetails,return.fileDetails == null,daikon.inv.unary.scalar.OneOfScalar,(return.fileDetails),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.fileDetails.audioStreams,return.fileDetails.audioStreams == null,daikon.inv.unary.scalar.OneOfScalar,(return.fileDetails.audioStreams),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.fileDetails.videoStreams,return.fileDetails.videoStreams == null,daikon.inv.unary.scalar.OneOfScalar,(return.fileDetails.videoStreams),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.id,"return.id is a substring of return.player.embedHtml
return.id is a substring of return.snippet.thumbnails.default.url
return.id is a substring of return.snippet.thumbnails.high.url
return.id is a substring of return.snippet.thumbnails.maxres.url
return.id is a substring of return.snippet.thumbnails.medium.url
return.id is a substring of return.snippet.thumbnails.standard.url
LENGTH(return.id)==11
return.id in input.id[]","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.sequenceString.MemberString","(return.id, return.player.embedHtml)
(return.id, return.snippet.thumbnails.default.url)
(return.id, return.snippet.thumbnails.high.url)
(return.id, return.snippet.thumbnails.maxres.url)
(return.id, return.snippet.thumbnails.medium.url)
(return.id, return.snippet.thumbnails.standard.url)
(return.id)
(input.id[..], return.id)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
items.kind,"LENGTH(return.kind)==13
return.kind == ""youtube#video""","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.kind)
(return.kind)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
items.liveStreamingDetails.actualEndTime,"LENGTH(return.liveStreamingDetails.actualEndTime)==20
return.liveStreamingDetails.actualEndTime is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.liveStreamingDetails.actualEndTime)
(return.liveStreamingDetails.actualEndTime)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
items.liveStreamingDetails.actualStartTime,"LENGTH(return.liveStreamingDetails.actualStartTime)==20
return.liveStreamingDetails.actualStartTime is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.liveStreamingDetails.actualStartTime)
(return.liveStreamingDetails.actualStartTime)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
items.liveStreamingDetails.scheduledStartTime,"LENGTH(return.liveStreamingDetails.scheduledStartTime)==20
return.liveStreamingDetails.scheduledStartTime is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.liveStreamingDetails.scheduledStartTime)
(return.liveStreamingDetails.scheduledStartTime)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
items.monetizationDetails,return.monetizationDetails == null,daikon.inv.unary.scalar.OneOfScalar,(return.monetizationDetails),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
