pptname,invariant,invariantType,variables,tp,fp,enter,bug,file,group
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,return.id is a substring of return.player.embedHtml,daikon.inv.binary.twoString.StdString$SubString,"(return.id, return.player.embedHtml)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\YouTube\listVideos\50\invariants_50_modified_tab_delimiter.xlsx,items.id
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,return.id is a substring of return.snippet.thumbnails.default.url,daikon.inv.binary.twoString.StdString$SubString,"(return.id, return.snippet.thumbnails.default.url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\YouTube\listVideos\50\invariants_50_modified_tab_delimiter.xlsx,items.id
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,return.id is a substring of return.snippet.thumbnails.high.url,daikon.inv.binary.twoString.StdString$SubString,"(return.id, return.snippet.thumbnails.high.url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\YouTube\listVideos\50\invariants_50_modified_tab_delimiter.xlsx,items.id
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,return.id is a substring of return.snippet.thumbnails.maxres.url,daikon.inv.binary.twoString.StdString$SubString,"(return.id, return.snippet.thumbnails.maxres.url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\YouTube\listVideos\50\invariants_50_modified_tab_delimiter.xlsx,items.id
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,return.id is a substring of return.snippet.thumbnails.medium.url,daikon.inv.binary.twoString.StdString$SubString,"(return.id, return.snippet.thumbnails.medium.url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\YouTube\listVideos\50\invariants_50_modified_tab_delimiter.xlsx,items.id
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,return.id is a substring of return.snippet.thumbnails.standard.url,daikon.inv.binary.twoString.StdString$SubString,"(return.id, return.snippet.thumbnails.standard.url)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\YouTube\listVideos\50\invariants_50_modified_tab_delimiter.xlsx,items.id
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,return.player.embedHeight is a substring of return.player.embedHtml,daikon.inv.binary.twoString.StdString$SubString,"(return.player.embedHeight, return.player.embedHtml)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\YouTube\listVideos\50\invariants_50_modified_tab_delimiter.xlsx,items.player.embedHeight
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,return.player.embedWidth is a substring of return.player.embedHtml,daikon.inv.binary.twoString.StdString$SubString,"(return.player.embedHtml, return.player.embedWidth)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\YouTube\listVideos\50\invariants_50_modified_tab_delimiter.xlsx,items.player.embedHtml
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,return.snippet.thumbnails.default.url is Url,daikon.inv.unary.string.IsUrl,(return.snippet.thumbnails.default.url),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\YouTube\listVideos\50\invariants_50_modified_tab_delimiter.xlsx,items.snippet.thumbnails.default.url
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,return.snippet.thumbnails.high.url is Url,daikon.inv.unary.string.IsUrl,(return.snippet.thumbnails.high.url),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\YouTube\listVideos\50\invariants_50_modified_tab_delimiter.xlsx,items.snippet.thumbnails.high.url
