endpoint,group,description
get+v1_public_comics_{comicid},data.count,"The total number of results returned by this call. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.limit,"The requested result limit. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.offset,"The requested offset (number of skipped results) of the call. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.characters.available,"The number of total available characters in this list. Will always be greater than or equal to the ""returned"" value. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.characters.returned,"The number of characters returned in this collection (up to 20). schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.collectedIssues.resourceURI,"The path to the individual comic resource. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.collections.resourceURI,"The path to the individual comic resource. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.creators.available,"The number of total available creators in this list. Will always be greater than or equal to the ""returned"" value. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.creators.returned,"The number of creators returned in this collection (up to 20). schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.dates.date,"The date. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.dates.type,"A description of the date (e.g. onsale date, FOC date). schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.diamondCode,"The Diamond code for the comic. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.digitalId,"The ID of the digital comic representation of this comic. Will be 0 if the comic is not available digitally. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.ean,"The EAN barcode for the comic. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.events.available,"The number of total available events in this list. Will always be greater than or equal to the ""returned"" value. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.format,"The publication format of the comic e.g. comic, hardcover, trade paperback. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.id,"Attribute comicId is responded to by parameter Comic with a description: A single comic
The unique ID of the comic resource. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.images.extension,"The file extension for the image. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.images.path,"The directory path of to the image. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.isbn,"The ISBN for the comic (generally only populated for collection formats). schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.issn,"The ISSN barcode for the comic. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.issueNumber,"The number of the issue in the series (will generally be 0 for collection formats). schema: {""type"": ""number"", ""format"": ""double""} schema: {""type"": ""number"", ""format"": ""double""}"
get+v1_public_comics_{comicid},data.results.pageCount,"The number of story pages in the comic. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.prices.price,"The price (all prices in USD). schema: {""type"": ""number"", ""format"": ""float""} schema: {""type"": ""number"", ""format"": ""float""}"
get+v1_public_comics_{comicid},data.results.prices.type,"A description of the price (e.g. print price, digital price). schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.resourceURI,"The canonical URL identifier for this resource. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.stories.available,"The number of total available stories in this list. Will always be greater than or equal to the ""returned"" value. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.stories.returned,"The number of stories returned in this collection (up to 20). schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.textObjects.language,"The IETF language tag denoting the language the text object is written in. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.thumbnail.extension,"The file extension for the image. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.thumbnail.path,"The directory path of to the image. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.upc,"The UPC barcode number for the comic (generally only populated for periodical formats). schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.urls.type,"A text identifier for the URL. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.variants.resourceURI,"The path to the individual comic resource. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.total,"The total number of resources available given the current filter set. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
