endpoint,group,description
get+,BoxOffice,"{""type"": ""string"", ""example"": ""$96,200,000""} schema: {""type"": ""string"", ""example"": ""$96,200,000""}"
get+,DVD,"{""type"": ""string"", ""example"": ""01 Oct 2013""} schema: {""type"": ""string"", ""example"": ""01 Oct 2013""}"
get+,Metascore,"{""type"": ""string"", ""example"": 67} schema: {""type"": ""string"", ""example"": 67}"
get+,Plot,Attribute plot is responded to by parameter Response with a description: Return short or full plot
get+,Poster,"{""type"": ""string"", ""example"": ""https://m.media-amazon.com/images/M/MV5BMTQxODE3NjM1Ml5BMl5BanBnXkFtZTcwMzkzNjc4OA@@._V1_SX300.jpg""}"
get+,Ratings.Value,"{""type"": ""string"", ""example"": ""6.6/10""} schema: {""type"": ""string"", ""example"": ""6.6/10""}"
get+,Released,"{""type"": ""string"", ""example"": ""12 Jun 2013""} schema: {""type"": ""string"", ""example"": ""12 Jun 2013""}"
get+,Response,"{""type"": ""string"", ""enum"": [""True"", ""False""], ""example"": ""True""} schema: {""type"": ""string"", ""enum"": [""True"", ""False""], ""example"": ""True""}"
get+,Runtime,"{""type"": ""string"", ""example"": ""107 min""} schema: {""type"": ""string"", ""example"": ""107 min""}"
get+,Title,Attribute t is responded to by parameter Response with a description: Title of movie or series
get+,Type,"Attribute type is responded to by parameter Response with a description: Return movie, series or episode"
get+,Year,"{""type"": ""string"", ""example"": 2013} schema: {""type"": ""string"", ""example"": 2013}"
get+,imdbID,"Attribute i is responded to by parameter Response with a description: A valid IMDb ID (e.g. tt0000001)
{""type"": ""string"", ""example"": ""tt1245492""} schema: {""type"": ""string"", ""example"": ""tt1245492""}"
get+,imdbVotes,"{""type"": ""string"", ""example"": ""370,080""} schema: {""type"": ""string"", ""example"": ""370,080""}"
get+,seriesID,"{""type"": ""string"", ""example"": ""tt0341939""}"
