operation,response resource,attribute,group,description
post-/users/{user_id}/playlists,playlist,primary_color,primary_color,"Primary color schema: {""type"": ""string"", ""x-nullable"": true} schema: {""type"": ""string"", ""x-nullable"": true}"
post-/users/{user_id}/playlists,user-profile,href,owner.href,"A link to the Web API endpoint for this user. schema: {""type"": ""string""} schema: {""type"": ""string""}"
post-/users/{user_id}/playlists,user-profile,href,tracks.items.added_by.href,"A link to the Web API endpoint for this user. schema: {""type"": ""string""} schema: {""type"": ""string""}"
post-/users/{user_id}/playlists,user-profile,id,owner.id,"The Spotify ID for this user. schema: {""type"": ""string""} schema: {""type"": ""string""}"
post-/users/{user_id}/playlists,user-profile,id,tracks.items.added_by.id,"The Spotify ID for this user. schema: {""type"": ""string""} schema: {""type"": ""string""}"
post-/users/{user_id}/playlists,user-profile,type,owner.type,"The object type: 'user' schema: {""type"": ""string""} schema: {""type"": ""string""}"
post-/users/{user_id}/playlists,user-profile,type,tracks.items.added_by.type,"The object type: 'user' schema: {""type"": ""string""} schema: {""type"": ""string""}"
post-/users/{user_id}/playlists,user-profile,uri,owner.uri,"The Spotify URI for the user. schema: {""type"": ""string""} schema: {""type"": ""string""}"
post-/users/{user_id}/playlists,user-profile,uri,tracks.items.added_by.uri,"The Spotify URI for the user. schema: {""type"": ""string""} schema: {""type"": ""string""}"
post-/users/{user_id}/playlists,playlist,public,public,"The playlist's public/private status: true the playlist is public, false the playlist is private, null the playlist status is not relevant. For more about public/private status, see Working with Playlists. schema: {""type"": ""boolean""} schema: {""type"": ""boolean""}"
post-/users/{user_id}/playlists,playlist-track,added_at,tracks.items.added_at,"The date and time the track was added in ISO 8601 format. Note that some very old playlists may return null in this field. schema: {""type"": ""string""} schema: {""type"": ""string""}"
post-/users/{user_id}/playlists,playlist-track,is_local,tracks.items.is_local,"Whether this track is a [local file](https://developer.spotify.com/web-api/local-files-spotify-playlists/) or not. schema: {""type"": ""boolean""} schema: {""type"": ""boolean""}"
post-/users/{user_id}/playlists,playlist-track-page,limit,tracks.limit,"The maximum number of items in the response (as set in the query or by default). schema: {""type"": ""integer""} schema: {""type"": ""integer""}"
post-/users/{user_id}/playlists,playlist-track-page,next,tracks.next,"URL to the next page of items. (null if none) schema: {""type"": ""string"", ""x-nullable"": true} schema: {""type"": ""string"", ""x-nullable"": true}"
post-/users/{user_id}/playlists,playlist-track-page,offset,tracks.offset,"The offset of the items returned (as set in the query or by default). schema: {""type"": ""integer""} schema: {""type"": ""integer""}"
post-/users/{user_id}/playlists,playlist-track-page,previous,tracks.previous,"URL to the previous page of items. (null if none) schema: {""type"": ""string"", ""x-nullable"": true} schema: {""type"": ""string"", ""x-nullable"": true}"
post-/users/{user_id}/playlists,playlist,uri,uri,"Spotify URI of the playlist. schema: {""type"": ""string""} schema: {""type"": ""string""}"
